"Loading.Cutaway1","xvideos.com"
"Loading.Cutaway2","Купи"
"Loading.Cutaway3","Расскажи друзьям"
"Loading.Cutaway4","Это весело"
"Loading.Cutaway5","Играй"
"Loading.Cutaway6","Поделись"
"Loading.Cutaway7","Думай"
"Loading.Cutaway8","Ты победитель"
"Loading.Cutaway9","Иисус"
"Loading.Loading","Загрузка"
"MissionHelp.Target","Чтобы пройти уровень, достигни цели"
"Worlds.Feature.Title","В этом уровне:"
"Worlds.Feature.World1.1","Кое-что, что будет в этом мире"
"Worlds.Feature.World2.1","Кое-что, что будет в этом мире"
"Worlds.Feature.World3.1","Кое-что, что будет в этом мире"
"Worlds.Feature.World4.1","Кое-что, что будет в этом мире"
"Worlds.Feature.World5.1","Кое-что, что будет в этом мире"
"Worlds.Names.World1","Обучение"
"Worlds.Names.World2","В движении"
"Worlds.Names.World3","Временной скачок"
"Worlds.Names.World4","Сквозь пространство"
"Worlds.Names.World5","Превосходство"
"Worlds.TapToUnlock","Нажмите для разблокировки"
"Worlds.UnlockAll","Разблокировать всё"
"Worlds.WorldNumber","Мир {0}"
